DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
;;1hourcolor SHR100;;;;Made in Japan;;;JFKR Marketing, Ontario;0;
;;1st Birthday ISO400 film for color prints;Film pre-exposed with message at bottom of each frame.;;;;;;;0;
;;3-RINGS Color Film for Color Prints 100DX;;;;Made in China ?;2000’s ?;;China Xiamen Xinhuamei Ganguang Baozhuangpin Co LTD;0;3Rings100DX.jpg
;;3M Black-And-White ASA 200;;3M;;;End of 60’s ?;End of 70’s ?;;0;
;;3M Black-And-White ASA 80;;3M;;;End of 60’s ?;End of 70’s ?;;0;
;;3M Blue Standard Veterinary X-ray Film #xray;Blue sensitive;Kodak ?;;Made in USA, packaged in Mexico;;;3M United States;1;
;;3M Color Positive Film;;3M;;;1970;1978;;0;
;;3M Color Positive, type 650;;3M;;;1970;1974;;0;
;;3M Color Positive, type 651;;3M;;;1974;1978;;0;
;;3M ColorPrint High Speed ISO 400;;3M;;;70’s ?;;;0;3McolorprintHighSpeed400.jpg
;;3M ColorPrint II ISO 100;;3M / Ferrania;;Made in Italy;80's ?;;;0;3McolorprintII.jpg
;;3M ColorPrint ISO 100;;3M;;;~1973 ?;;;0;3MColorPrint.jpg
;;3M ColorSlide ISO 100;;3M;;;~1973 ?;;;0;3Mcolorslide.jpg
;;3M Colorslide100 (Ferrania);;3M / Ferrania;;Made in Italy;1981 ??;;;0;3Mcolorslide100.jpg
;;3M Colorslide1000 (Ferrania);;3M / Ferrania;;Made in Italy;Mid 80’s ?;;;0;3Mcolorslide1000.jpg
;;3M ColorSlide100D;;3M / Ferrania;;;1982;;;0;
;;3M Colorslide640-T (Ferrania) 640T;;3M / Ferrania;;Made in Italy;1981 ??;;;0;3MColorslide640T.jpg
;;3M Contact Film;;3M;;;;;;0;
;;3M Dynachrome;;Dynacolor Corp, USA;;;1959 ?;;;0;
;;3M Dynachrome 25;;3M / Ferrania;;;~1965;~1970 ?;;0;3Mdynachrome25.jpg
;;3M Dynachrome 65;;3M / Ferrania;;;~1974 ?;;;0;3Mdynachrome64.jpg
;;3M Dynachrome Type A;;Dynacolor Corp, USA;;;1961;1964;;0;
;;3M Dynachrome Type F;;Dynacolor Corp, USA;;;1961;1964;;0;
;;3M DynaPan ASA 160;;3M / Dynacolor Corp, USA ?;;;;;;0;3MDynapan.jpg
;;3M Ferrania CR50 ;;3M / Ferrania;;Made in Italy;~1967;~1975;Ferrania;0;FerraniaCR50.jpg
;;3M Ferrania CR50A;;3M / Ferrania;;Made in Italy;~1967 ?;~1975 ?;Ferrania;0;FerraniaCR50A.jpg
;;3M Green Standard Veterinary X-ray Film #xray;Green sensitive;Kodak ?;;Made in USA, packaged in Mexico;;;3M United States;1;
;;3M Line Ortho Film;;3M;;;;;;0;
;;3M Radiographic CRT-8 film #xray x-ray CRT8;;3M;;;;;;0;
;;3M Radiographic TDL film #xray x-ray;;3M;;;;;;0;
;;3M Radiographic TM film #xray x-ray;;3M;;;;;;0;
;;3M Radiographic Type R #x-ray xray;;3M;;;;;;0;
;;3M Radiographic XD film #xray x-ray;;3M;;;;;;0;
;;3M Radiographic XM film #xray x-ray;;3M;;;;;;0;
;;3M Scotch ColorPrint HR100 #ScotchColor;;3M / Ferrania;;;~1984;;;0;3MColorHR100.jpg
0291;002910;3M Scotch ColorPrint HR200 Gen 2 #ScotchColor;;3M / Ferrania;;;~1984;;;0;
0293;002930;3M Scotch ColorPrint HR400 Gen 2 #ScotchColor;;3M / Ferrania;;;~1984;;;0;ScotchHR400.jpg
;;3M ScotchChrome 100;;3M / Ferrania;;;;1988;;0;3Mscotchchrome100.jpg
;;3M ScotchChrome 100 (Improved);;3M / Ferrania;;;1988;;;0;3Mscotchchrome100.jpg
;;3M ScotchChrome 1000 – CS1000;Formerly 3M ScotchColor Slide 1000;3M / Ferrania;;;1988;;;0;3Mscotchchrome1000.jpg
0259;002593;3M ScotchChrome 400;;3M / Ferrania;;;;1988;;0;ScotchChrome400.jpg
0259;002593;3M ScotchChrome 400 (Improved);US version of ScotchChrome 800/3200;3M / Ferrania;;;1988;;;0;ScotchChrome400.jpg
;;3M ScotchChrome 640-T (Ferrania) 640T;;3M / Ferrania;;;1981;;;0;ScotchChrome640T.jpg
0259;002593;3M ScotchChrome 800/3200;;3M / Ferrania;;;1972;1988;;0;ScotchChrome800-3200.jpg
